transaction_id,transactional_date,product_id,customer_id,payment,credit_card,loyalty_card,cost,quantity,price
1,2021-05-04 02:00:00,P0494,4,visa,4041593010498829,F,17.33,2,18.29
2,2021-05-04 03:04:00,P0221,5,visa,4041596151234556,F,0.59,1,1.49
3,2021-05-04 03:56:00,P0625,5,visa,4041594885335898,F,5.15,3,5.89
4,2021-05-04 05:20:00,P0431,8,mastercard,5108753677552345,F,10.67,2,11.59
5,2021-05-04 05:45:00,P0058,5,mastercard,5108752372298261,T,11.38,2,12.39
6,2021-05-04 06:58:00,P0385,6,americanexpress,374288563442549,F,13.22,1,14.69
7,2021-05-04 07:03:00,P0575,4,visa,4041598869758,F,2.81,1,3.99
8,2021-05-04 07:45:00,P0187,5,americanexpress,374283491107967,F,4.17,1,4.89
9,2021-05-04 09:58:00,P0074,7,mastercard,5108753211196286,F,18.11,1,19.79
10,2021-05-04 15:51:00,P0456,5,mastercard,5048370523083285,T,18.35,2,20.19
11,2021-05-04 16:13:00,P0519,5,mastercard,5048379752512880,F,12.45,3,14.09
12,2021-05-04 17:07:00,P0071,12,visa,4041594984149257,F,13.09,5,14.69
13,2021-05-04 19:57:00,P0550,5,americanexpress,374288299677079,F,15.35,1,17.09
14,2021-05-04 23:06:00,P0507,4,mastercard,5048376045855902,F,8.17,3,8.89
15,2021-05-05 05:22:00,P0684,6,visa,4041595178401834,F,6.15,1,7.49
16,2021-05-05 05:58:00,P0321,7,americanexpress,374288461042953,T,17.35,2,18.29
17,2021-05-05 07:40:00,P0450,9,visa,4041590043782,F,3.76,2,4.79
18,2021-05-05 07:58:00,P0457,10,americanexpress,374283070152186,F,2.02,1,2.59
19,2021-05-05 09:57:00,P0389,5,mastercard,5048376876298974,F,5.95,1,7.19
20,2021-05-05 10:11:00,P0152,7,americanexpress,374288062180277,F,16.33,1,17.99
21,2021-05-05 14:01:00,P0282,7,visa,4041594051333727,F,10.86,1,11.59
22,2021-05-05 14:31:00,P0480,5,visa,4041599842820,F,12.02,2,13.49
23,2021-05-05 15:00:00,P0634,6,mastercard,5108752673600884,F,16.47,1,18.09
24,2021-05-05 19:15:00,P0347,6,visa,4041598170819,F,5.37,1,6.29
25,2021-05-05 19:37:00,P0161,6,visa,4041596038533642,F,19.42,1,21.29
26,2021-05-05 19:58:00,P0455,6,mastercard,5108757235239089,F,1.63,2,1.79
27,2021-05-05 20:09:00,P0622,5,visa,4041596972700199,F,13.87,1,14.89
28,2021-05-06 05:08:00,P0190,3,mastercard,5048374002788455,F,18.93,2,20.89
29,2021-05-06 05:16:00,P0432,7,mastercard,5108756241400339,F,17.36,1,18.39
30,2021-05-06 05:58:00,P0524,4,americanexpress,374283854417458,T,10.66,2,11.59
31,2021-05-06 14:58:00,P0042,5,visa,4041599935977144,T,19.59,1,21.39
32,2021-05-06 16:16:00,P0474,4,visa,4041594587730164,F,15.66,2,17.49
33,2021-05-06 16:43:00,P0500,4,mastercard,5048371164242156,F,7.53,1,8.29
34,2021-05-06 18:41:00,P0517,4,mastercard,5048377748169427,F,5.11,1,5.79
35,2021-05-07 02:32:00,P0413,7,,6334501394605296134,F,7.35,2,8.19
36,2021-05-07 02:59:00,P0497,6,mastercard,5108759436996020,F,19.75,1,21.39
